"ACCENUMB"	"alt"	"slope"	"wind_1"	"wind_7"	"wind_annual"	"srad_1"	"srad_7"	"srad_annual"
"1895379105"	1290	4.13165187835693	4.01599979400635	2.96000003814697	3.44366669654846	16697	16855	16372.1669921875
"1895379106"	48	0.135357603430748	2.79999995231628	2.00399994850159	2.39499998092651	19317	18237	18094.833984375
"1895379109"	666	0.938710570335388	3.41600012779236	2.81200003623962	3.0753333568573	17480	18300	17333.916015625
"1895379115"	72	0.179847598075867	2.70000004768372	1.79999995231628	2.17366671562195	19338	18435	18168.5
"1895379117"	51	1.43685603141785	4.28125	3.52500009536743	3.94374990463257	17302	16532	16598.833984375
"1895379118"	943	1.31394696235657	2.66000008583069	1.80399990081787	2.28699994087219	19584	17469	17924.833984375
"1895379127"	236	0.78703898191452	1.60000002384186	1.10399997234344	1.2849999666214	18228	18466	17945.25
"1895379129"	1456	4.25783109664917	3.90799999237061	2.78399991989136	3.28833341598511	17384	17330	16995.083984375
"1895379137"	1066	4.0423059463501	3.05599999427795	2.09999990463257	2.48533344268799	17815	17893	17483.5
"1895379142"	858	7.52651214599609	2.34800004959106	1.59600007534027	1.87266659736633	17721	18052	17484.5
"1895379147"	1081	3.67439794540405	2.73200011253357	1.79999995231628	2.32566666603088	19511	16673	17561.833984375
"1895379172"	22	0.164182603359222	2.89199995994568	2.42000007629395	2.61133337020874	17014	17795	17078.666015625
"1895774385"	64	0.163032203912735	3.09999990463257	1.89999997615814	2.43599987030029	18830	18442	18019.5
"1895774387"	45	0.0539138093590736	3.20000004768372	2	2.53133320808411	18676	18395	17933.5
"1895774398"	26	0.0175991598516703	3	1.60000002384186	2.20799994468689	18883	18643	18005
"1895774403"	10	0.0157411601394415	3.79999995231628	2.57200002670288	3.10933327674866	18217	18416	17684.666015625
"1895774417"	1142	4.68440914154053	1.94400000572205	1.53999996185303	1.68966662883759	20531	17135	18202.083984375
"1895774423"	64	0.163032203912735	3.09999990463257	1.89999997615814	2.43599987030029	18830	18442	18019.5
"1895774451"	88	0.47248649597168	3.05200004577637	2.10799980163574	2.5406665802002	19338	18400	18277.833984375
"1895774471"	2	0.00976225640624762	4.44799995422363	3.42799997329712	3.90866661071777	18549	18240	17870
"1895774482"	1354	3.27508211135864	1.92799997329712	1.47200000286102	1.63633334636688	20688	17161	18322.333984375
"1895774491"	1562	2.04172301292419	2.05200004577637	1.55599999427795	1.75666666030884	19828	16580	17692.166015625
"1895797113"	13	0.0581243596971035	3.21199989318848	2.34400010108948	2.73199987411499	17565	18468	17684.166015625
"1895930457"	1182	1.18614602088928	3.16000008583069	2.25600004196167	2.6783332824707	18972	19438	18812
"1895967561"	1273	1.95951199531555	1.75600004196167	1.46399998664856	1.52066671848297	18276	17260	17464.666015625
"1895967621"	1006	3.76281499862671	1.79999995231628	1.49600005149841	1.56766664981842	16983	16751	16607.666015625
"1895967676"	531	1.57726895809174	1.89999997615814	1.51600003242493	1.65233337879181	17054	17154	16882.666015625
"1896094127"	656	1.39526200294495	2.3600001335144	1.64400005340576	1.97099995613098	18209	15823	16585.166015625
"1897335979"	1448	4.60573482513428	2.17600011825562	1.72000002861023	1.81700003147125	19578	18243	18375.333984375
"1897336017"	35	0.522279918193817	2.72000002861023	2.51999998092651	2.5770001411438	20521	17681	18448.5
"1897336021"	1448	4.60573482513428	2.17600011825562	1.72000002861023	1.81700003147125	19578	18243	18375.333984375
"1897336035"	499	1.47071802616119	1.91199994087219	1.59200000762939	1.69099998474121	17025	17149	16849.166015625
"1897336040"	1027	6.2734317779541	3.49600005149841	2.55200004577637	3.04633331298828	19952	16140	17704.666015625
"1897533609"	247	2.67430806159973	2.29999995231628	1.5	1.88866662979126	20618	18640	18719
"1897558624"	1300	4.07618713378906	1.90399992465973	1.44799995422363	1.58033335208893	20255	17315	18260.333984375
"1897572755"	391	2.93220591545105	3.85599994659424	2.77600002288818	3.29933333396912	19977	16587	17899.583984375
"1897572763"	265	0.286491096019745	3.6399998664856	2.29999995231628	3.06533336639404	18823	16472	17031
"1897572777"	434	0.953844726085663	3.99600005149841	2.8840000629425	3.43466663360596	20152	16575	17948.5
"1897572796"	285	1.36252403259277	4.10799980163574	2.9520001411438	3.52966666221619	20057	16653	17939.25
"1897572802"	1365	5.72484397888184	2.69600009918213	1.87199997901917	2.2776665687561	17690	15412	16174.5830078125
"1897572803"	227	1.91801905632019	4.30000019073486	3.18799996376038	3.72300004959106	20409	16734	18100.666015625
"1897572809"	91	1.69816303253174	4.47599983215332	3.3199999332428	3.87366652488708	20440	16831	18133.416015625
"1897572813"	91	1.69816303253174	4.47599983215332	3.3199999332428	3.87366652488708	20440	16831	18133.416015625
"1897572818"	255	1.07020795345306	4.12400007247925	3.00399994850159	3.55100011825562	20269	16700	18046.166015625
"1897572830"	91	1.69816303253174	4.47599983215332	3.3199999332428	3.87366652488708	20440	16831	18133.416015625
"1897572834"	1484	6.31424617767334	3.3600001335144	2.5	2.98199987411499	19682	15804	17435
"19774"	1248	3.04087209701538	2.69200015068054	1.93999993801117	2.29399991035461	19949	16291	17718.083984375
"1979"	1484	6.31424617767334	3.3600001335144	2.5	2.98199987411499	19682	15804	17435
"1988706214"	8	0.0205934997648001	3.74000000953674	2.16000008583069	2.84599995613098	18885	18633	18039.833984375
"1989136270"	8	0.0205934997648001	3.74000000953674	2.16000008583069	2.84599995613098	18885	18633	18039.833984375
"2_new"	1730	3.54104208946228	2.07999992370605	1.62800002098083	1.75633335113525	20323	16956	18133.666015625
"2005-1618"	12	0.143242299556732	2.83124995231628	2.47499990463257	2.71041655540466	19477	18071	18104.833984375
