"ACCENUMB"	"OBJECTID"	"INSTCODE"	"COLLNUMB"	"COLLCODE"	"COLLNAME"	"COLLINSTADDRESS"	"COLLMISSID"	"GENUS"	"SPECIES"	"SPAUTHOR"	"SUBTAXA"	"SUBTAUTHOR"	"CROPNAME"	"ACCENAME"	"ACQDATE"	"ORIGCTY"	"NAMECTY"	"ADM1"	"ADM2"	"ADM3"	"ADM4"	"COLLSITE"	"DECLATITUDE"	"LATITUDE"	"DECLONGITUDE"	"LONGITUDE"	"COORDUNCERT"	"COORDDATUM"	"GEOREFMETH"	"ELEVATION"	"COLLDATE"	"BREDCODE"	"BREDNAME"	"SAMPSTAT"	"ANCEST"	"COLLSRC"	"DONORCODE"	"DONORNAME"	"DONORNUMB"	"OTHERNUMB"	"DUPLSITE"	"DUPLINSTNAME"	"STORAGE"	"MLSSTAT"	"REMARKS"	"globlandc"	"DISTOLAND"	"SUITQUAL"	"ID_0"	"ISO"	"NAME_0"	"ID_1"	"NAME_1"	"VARNAME_1"	"ENGTYPE_1"	"ID_2"	"NAME_2"	"VARNAME_2"	"ENGTYPE_2"	"ID_3"	"NAME_3"	"VARNAME_3"	"ENGTYPE_3"	"ID_4"	"NAME_4"	"VARNAME_4"	"ENGTYPE4"	"NIVELMAX"	"LOCALQUAL"	"COORQUAL"	"intertemp"	"errores"	"precis"	"georble"	"GEOREFMETH1"	"TOTALQUAL"	"TOTALQUAL100"
"AMZ119"	173059	"MUZ"	"AA78"	NA	NA	NA	NA	"Verbascum "	"deserticola "	"(Hemaid)"	"var. sheilae "	" A.Alzahrani"	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.632667	NA	36.568283	NA	NA	NA	100	737	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	12	0	20	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	50	83.3333333333333
"AMZ120"	173059	"MUZ"	"AA79"	NA	NA	NA	NA	"Verbascum "	"deserticola "	"(Hemaid)"	"var. sheilae "	" A.Alzahrani"	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.632517	NA	36.5676	NA	NA	NA	100	737	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	12	0	20	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	50	83.3333333333333
"AMZ121"	173059	"MUZ"	"AA80"	NA	NA	NA	NA	"Verbascum "	"deserticola "	"(Hemaid)"	"var. sheilae "	" A.Alzahrani"	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.6326	NA	36.56745	NA	NA	NA	100	735	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	12	0	20	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	50	83.3333333333333
"AMZ122"	173059	"MUZ"	"AA81"	NA	NA	NA	NA	"Verbascum "	"deserticola "	"(Hemaid)"	"var. sheilae "	" A.Alzahrani"	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.63345	NA	36.56665	NA	NA	NA	100	731	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ123"	173059	"MUZ"	"AA82"	NA	NA	NA	NA	"Verbascum "	"deserticola "	"(Hemaid)"	"var. sheilae "	" A.Alzahrani"	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.634133	NA	36.566483	NA	NA	NA	100	736	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ124"	173059	"MUZ"	"AA83"	NA	NA	NA	NA	"Verbascum "	"deserticola "	"(Hemaid)"	"var. sheilae "	" A.Alzahrani"	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.634683	NA	36.564467	NA	NA	NA	100	741	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ125"	173059	"MUZ"	"AA84"	NA	NA	NA	NA	"Verbascum "	"deserticola "	"(Hemaid)"	"var. sheilae "	" A.Alzahrani"	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.636183	NA	36.560883	NA	NA	NA	100	719	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ126"	173059	"MUZ"	"AA85"	NA	NA	NA	NA	"Verbascum "	"deserticola "	"(Hemaid)"	"var. sheilae "	" A.Alzahrani"	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.63545	NA	36.558	NA	NA	NA	100	728	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	"10;50"	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	45	75
"AMZ127"	173059	"MUZ"	"AA86"	NA	NA	NA	NA	"Verbascum "	"deserticola "	"(Hemaid)"	"var. sheilae "	" A.Alzahrani"	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.635367	NA	36.55785	NA	NA	NA	100	722	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	"10;50"	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	45	75
"AMZ128"	173060	"K"	"IS8215"	NA	NA	NA	NA	"Verbascum "	"deserticola "	"(Murb.) Huber-Morath"	"var. deserticola"	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Buwat, between Medina and Yanbo Al-Nakal, Medina"	24.282095	NA	38.592823	NA	NA	NA	200	853	19920506	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	5	"Al Madinah"	"Madinah|Al Madinah al Munawwarah|Monwarah|Medina|Médine"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	18	1	1	3	3	2	43	71.6666666666667
