"ACCENUMB"	"bio_15"	"bio_4"	"bio_3"	"bio_5"	"bio_6"	"bio_12"	"bio_16"	"bio_18"	"bio_19"	"bio_17"	"bio_13"	"bio_14"	"bio_2"	"bio_7"	"bio_1"	"bio_8"	"bio_10"	"bio_11"	"bio_9"
"1893372576"	68.2799987792969	1874.43994140625	63.5200004577637	326.799987792969	181.479995727539	818.799987792969	391.519989013672	294.559997558594	86.9599990844727	58.0800018310547	150.119995117188	14.8800001144409	93.2399978637695	145.320007324219	256.760009765625	272.320007324219	274.440002441406	229	251.919998168945
"1893372578"	68.5999984741211	2212.919921875	65.1999969482422	361.519989013672	157.880004882812	1044.64001464844	493.440002441406	275.959991455078	84.1600036621094	78.5599975585938	195.360000610352	25.4400005340576	133.559997558594	203.639999389648	260.079986572266	275.440002441406	283.119995117188	228.759994506836	240
"1893372580"	89.1600036621094	3026.63989257812	61.0400009155273	332.920013427734	87.3600006103516	935.760009765625	505.320007324219	326.480010986328	47.3199996948242	37.2000007629395	220.279998779297	10.8800001144409	150.880004882812	245.559997558594	214.320007324219	236.039993286133	246.160003662109	171.960006713867	186.720001220703
"1893372584"	81.8399963378906	2491.80004882812	63.2000007629395	284.320007324219	63.3600006103516	1441.11999511719	751.039978027344	358.880004882812	105.959999084473	93.6800003051758	348.440002441406	27.6000003814697	140.919998168945	220.960006713867	175.039993286133	192.080001831055	201.639999389648	139.880004882812	151.440002441406
"1893372591"	79.120002746582	2349.32006835938	65.120002746582	278.679992675781	49.3600006103516	900.039978027344	462.679992675781	246.119995117188	62.5999984741211	55.3600006103516	187.679992675781	14.9200000762939	150.800003051758	229.320007324219	164.160003662109	178.720001220703	190.320007324219	131.600006103516	132.240005493164
"1893372592"	82.9199981689453	2798.84008789062	61.7200012207031	308.160003662109	77.9199981689453	1505.88000488281	785.679992675781	520.960021972656	104.720001220703	91.1600036621094	365.440002441406	27.7600002288818	143.119995117188	230.240005493164	196.600006103516	217.440002441406	225.919998168945	156.960006713867	169.479995727539
"1893372609"	85.6800003051758	2842	62.2000007629395	318.640014648438	80.4800033569336	1028	539	380.119995117188	59.8400001525879	50	250.360000610352	14.3199996948242	149.279998779297	238.160003662109	203.679992675781	224.759994506836	233.600006103516	163.759994506836	176.880004882812
"1893372615"	84.5999984741211	2783.39990234375	62.1199989318848	309.880004882812	78.4000015258789	1255.0400390625	658.760009765625	426.559997558594	80.8000030517578	70.120002746582	307	20.7600002288818	145.119995117188	231.479995727539	197.399993896484	217.720001220703	226.679992675781	157.919998168945	170.520004272461
"1893372623"	82.2399978637695	2546.1201171875	63.3600006103516	290.480010986328	66.4400024414062	1405.76000976562	732.760009765625	400.519989013672	102.279998779297	89.0800018310547	342.040008544922	26.2399997711182	142.759994506836	224.039993286133	180.520004272461	198.199996948242	207.479995727539	144.479995727539	156.199996948242
"1893372634"	85	2816.919921875	62.0400009155273	313.920013427734	79.7600021362305	1195.59997558594	628.119995117188	424.959991455078	73.879997253418	64	291.959991455078	18.8400001525879	146.520004272461	234.160003662109	200.520004272461	221.240005493164	229.960006713867	160.759994506836	173.600006103516
"1893372636"	86.5999984741211	3136.919921875	59.6399993896484	336.720001220703	91.0400009155273	1103.83996582031	590.840026855469	416.359985351562	64.5599975585938	50.2799987792969	255.199996948242	15.2399997711182	147.639999389648	245.679992675781	218.119995117188	240.479995727539	251	174.279998779297	189.479995727539
"1893372641"	82.4000015258789	2757.56005859375	61.6800003051758	302.959991455078	75.6800003051758	1575.71997070312	820.960021972656	515.840026855469	112.76000213623	98.9599990844727	380.679992675781	30.1599998474121	141.320007324219	227.279998779297	192.279998779297	212.440002441406	221.199996948242	153.279998779297	165.520004272461
"1893372645"	83.2799987792969	2100.0400390625	63.5999984741211	348.839996337891	163.679992675781	1234.28002929688	678.840026855469	269.920013427734	84	54.1599998474121	237.919998168945	16.4799995422363	118.76000213623	185.160003662109	257.880004882812	271.640014648438	280.239990234375	227.960006713867	255.839996337891
"1893372653"	105.360000610352	602.239990234375	84.6800003051758	344.200012207031	183.279998779297	826.599975585938	472.239990234375	471.959991455078	20.2000007629395	8.92000007629395	193.440002441406	2	136.679992675781	160.919998168945	269.640014648438	276.600006103516	276.600006103516	262.760009765625	263.959991455078
"1893372654"	81.8399963378906	2491.80004882812	63.2000007629395	284.320007324219	63.3600006103516	1441.11999511719	751.039978027344	358.880004882812	105.959999084473	93.6800003051758	348.440002441406	27.6000003814697	140.919998168945	220.960006713867	175.039993286133	192.080001831055	201.639999389648	139.880004882812	151.440002441406
"1893372660"	96.4800033569336	1963.43994140625	65.1600036621094	284.119995117188	53.7200012207031	929.719970703125	559.919982910156	229.119995117188	40.0400009155273	32.1199989318848	199.240005493164	7.19999980926514	151.440002441406	230.399993896484	166.639999389648	173.559997558594	191.279998779297	139.240005493164	167.160003662109
"1893420605"	77	3492.39990234375	54.8800010681152	340.119995117188	113.319999694824	2115.56005859375	1039.80004882812	794.960021972656	163.119995117188	160.639999389648	465.359985351562	51.6399993896484	125.279998779297	226.800003051758	234.199996948242	263.160003662109	270.320007324219	184.639999389648	194.199996948242
"1893443397"	82.3600006103516	2093.60009765625	62.0400009155273	351.359985351562	180.320007324219	987.599975585938	536.679992675781	290.519989013672	70.6399993896484	34.7599983215332	186.880004882812	9.15999984741211	106.919998168945	171.039993286133	267.799987792969	283.040008544922	288.320007324219	237.039993286133	264.200012207031
