INSTCODE	ACCENUMB	COLLNUMB	COLLCODE	COLLNAME	COLLINSTADDRESS	COLLMISSID	GENUS	SPECIES	SPAUTHOR	SUBTAXA	SUBTAUTHOR	CROPNAME	ACCENAME	ACQDATE	ORIGCTY	NAMECTY	ADM1	ADM2	ADM3	ADM4	COLLSITE	DECLATITUDE	LATITUDE	DECLONGITUDE	LONGITUDE	COORDUNCERT	COORDDATUM	GEOREFMETH	ELEVATION	COLLDATE	BREDCODE	BREDNAME	SAMPSTAT	ANCEST	COLLSRC	DONORCODE	DONORNAME	DONORNUMB	OTHERNUMB	DUPLSITE	DUPLINSTNAME	STORAGE	MLSSTAT	REMARKS
K	AMZ210	MB2528	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Roadside S. of Ibb, Ibb"	13.925817	NA	44.182661	NA	NA	NA	200	NA	19730727	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E00066914	AM377	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Jabal Shibam, above Menacha, Sana'a"	15.097164	NA	43.7099	NA	NA	NA	200	2700	19781005	NA	NA	100	NA	62	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E00066916	JL13045	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Qarn Al-Wa'al, Al-Bayda"	14.286421	NA	44.763568	NA	NA	NA	200	2950	19760929	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E00066917	JL11288	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Sumara Pass, Ibb"	14.194037	NA	44.276905	NA	NA	NA	200	2800	19740326	NA	NA	100	NA	62	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E00066918	AM462	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Sumara Pass, Ibb"	14.194453	NA	44.280499	NA	NA	NA	200	3100	19781009	NA	NA	100	NA	62	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E00066920	DW1100	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Kuslan, Hajjah"	15.732812	NA	43.716206	NA	NA	NA	200	2300	19790319	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E00066921	AM536	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Jiblah, environs of town, Ibb"	13.925119	NA	44.14541	NA	NA	NA	200	2000	19781016	NA	NA	100	NA	62	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E00066922	JW2869	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Jabal Sumara, Ibb"	14.185817	NA	44.27695	NA	NA	NA	200	2800	19790621	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E00066923	KG1	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"West facing slopes of Jabal Sabir, 15 Km S of Taizz, Taizz"	13.512503	NA	44.047682	NA	NA	NA	200	2300	19820611	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E00066926	AD3369	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Shibam, Sana'a"	15.089583	NA	43.715807	NA	NA	NA	200	2500	19810401	NA	NA	100	NA	62	NA	NA	NA	NA	NA	NA	NA	0	NA
