"ELC_CAT"	"bio_19.media"	"bio_17.media"	"bio_14.media"	"bio_11.media"	"alt.media"	"wind_annual.media"	"srad_annual.media"	"LONGITUD.media"	"LATITUD.media"	"t_bulk_dens.media"	"t_cecsol.media"	"t_oc_dens.media"	"t_ph_hox.media"	"bio_19.mediana"	"bio_17.mediana"	"bio_14.mediana"	"bio_11.mediana"	"alt.mediana"	"wind_annual.mediana"	"srad_annual.mediana"	"LONGITUD.mediana"	"LATITUD.mediana"	"t_bulk_dens.mediana"	"t_cecsol.mediana"	"t_oc_dens.mediana"	"t_ph_hox.mediana"	"bio_19.maximo"	"bio_17.maximo"	"bio_14.maximo"	"bio_11.maximo"	"alt.maximo"	"wind_annual.maximo"	"srad_annual.maximo"	"LONGITUD.maximo"	"LATITUD.maximo"	"t_bulk_dens.maximo"	"t_cecsol.maximo"	"t_oc_dens.maximo"	"t_ph_hox.maximo"	"bio_19.minimo"	"bio_17.minimo"	"bio_14.minimo"	"bio_11.minimo"	"alt.minimo"	"wind_annual.minimo"	"srad_annual.minimo"	"LONGITUD.minimo"	"LATITUD.minimo"	"t_bulk_dens.minimo"	"t_cecsol.minimo"	"t_oc_dens.minimo"	"t_ph_hox.minimo"	"bio_19.sd"	"bio_17.sd"	"bio_14.sd"	"bio_11.sd"	"alt.sd"	"wind_annual.sd"	"srad_annual.sd"	"LONGITUD.sd"	"LATITUD.sd"	"t_bulk_dens.sd"	"t_cecsol.sd"	"t_oc_dens.sd"	"t_ph_hox.sd"
11	82.8282542740815	50.9661678488329	13.1168861122255	232.832154522079	13.657627318948	3.24332295198145	17941.8692268608	-90.2118612510239	20.2828144970054	1279.80698236361	29.7519092855704	246.256981205542	75.5892306489421	79.9799995422363	54.0400009155273	14	231.800003051758	7.40000009536743	3.27416658401489	17925.3330078125	-90.0933747752881	20.6094354198375	1319.80004882812	30.0124998092651	248.862503051758	75.1124992370605	137.58332824707	80.5599975585938	22.5599994659424	269.079986572266	95	4.32000017166138	18912.666015625	-87.9267081086214	22.4011020865042	1408.25	53.6749992370605	519.424987792969	85.25	8	7	0	192.199996948242	-3.19047617912292	2.21099996566772	17529.666015625	-98.0100414419547	14.4844354198375	650.400024414062	13.6000003814697	153.725006103516	61.7999992370605	17.6855631169204	15.5230241612199	5.13748825387759	8.23565252267596	16.5185906687289	0.453146395040471	188.304990545285	1.23069565470923	1.23137192724498	121.066461849812	5.88049437278685	45.5183011918229	3.44082060867068
12	47.0149322237287	22.2150889780156	5.54257832983972	241.676063012824	366.719530284957	2.89501758290346	18231.3373119213	-93.5841155160288	15.9297616984971	1303.26441786024	19.9253968132867	177.523809200872	63.0059524616867	42.5999984741211	15.039999961853	3.88000011444092	258.25	11	2.84999990463257	18253.666015625	-93.0100414419547	15.7761020865042	1330.80004882812	18.4500007629395	173.175003051758	63.7750015258789	133.919998168945	75.1600036621094	22.4400005340576	277.166656494141	1314.88000488281	4.27708339691162	19132.083984375	-89.7600414419547	20.3177687531709	1428.72497558594	31.0750007629395	272.375	76.6750030517578	4.67999982833862	4.53333330154419	0	188.639999389648	-2.125	1.70066666603088	17465.083984375	-101.676708108621	14.5261020865042	958.724975585938	8.17500019073486	125.925003051758	52.7999992370605	30.5168005216553	17.504798934624	5.06641239811058	27.0315114859074	454.875854441947	0.69206293390314	350.909526726881	2.15539524778006	0.937379730320223	105.886568243857	5.12307665431989	31.612546686415	5.5381321116103
13	75.2681110359374	50.718410218654	14.0602172498978	217.923919054927	104.58952578626	2.67826069435295	17832.9145308514	-93.5698486981906	20.0562891613341	1432.08792425662	27.0099914317228	146.426658033514	73.3302724410077	81.7400016784668	56.3266658782959	15	228.346664428711	28.7799997329712	2.59433329105377	17919.4169921875	-92.1558747752881	19.9844354198375	1429.22497558594	27.2999992370605	146.537498474121	73.125	122.080001831055	75.1999969482422	23.1599998474121	262	860.159973144531	4.26666688919067	18581.833984375	-88.8433747752881	22.7344354198375	1524.69995117188	37.5	223.625	84.5500030517578	1.79999995231628	1.79999995231628	0	187	-4	1.7096666097641	17104.5	-104.301708108621	15.7344354198375	1326.77502441406	12.4499998092651	71.8000030517578	64.8000030517578	28.2273578078393	19.9859476697542	6.07847921492016	19.6371467574	198.466652670915	0.61356589037686	268.227456257942	3.60797710223919	2.10041222596533	36.0167889428437	4.02709185920903	26.9703490210737	3.20834935473319
14	30.4541548214696	12.839932863327	2.8677906228766	245.909820878254	308.251192775697	2.7878099683297	18014.8938780738	-95.6051038931647	16.2458327656611	1457.71201240486	16.2324824523032	109.273360552107	61.9798478316367	21.1599998474121	10.1199998855591	2	251.440002441406	206.520004272461	2.69761896133423	17978.75	-95.1767081086214	16.2344354198375	1460.90002441406	15.2250003814697	104.675003051758	62	166.960006713867	69	18	282.714294433594	1228.40002441406	4.35833311080933	18959.5	-90.5100414419547	21.9427687531709	1513.47497558594	30.1499996185303	192.774993896484	73.0749969482422	1.03999996185303	1.03999996185303	0	194.960006713867	-7.5	1.71333336830139	17313.25	-104.385041441955	14.5261020865042	1327.34997558594	7.92500019073486	68.5250015258789	53.5499992370605	26.4075394948394	8.96359028167662	2.61928587906496	21.789225130172	291.527859412649	0.636969825414592	283.639520085486	2.77041172235726	0.618097002560968	28.3488654582206	3.85744846208224	19.8797765958746	3.65991948690357
15	44.820553894043	26.4029539636465	5.76369230673863	192.827938232422	1539.31285851112	1.80225845153515	18031.3240564904	-98.4383747752881	17.4999482403504	1390.5972280649	24.1700000088031	168.969538433368	58.9899228961651	41.1599998474121	22.1599998474121	4.80000019073486	190.360000610352	1540.35998535156	1.79433333873749	18055.916015625	-99.3433747752881	17.5677687531709	1396.72497558594	24.5249996185303	161.975006103516	58.5750007629395	96.8000030517578	77.5999984741211	20.1599998474121	228.960006713867	2059.39990234375	2.24166655540466	19083.666015625	-91.8433747752881	19.8177687531709	1425.92504882812	31.9750003814697	293.950012207031	66.125	14.4799995422363	8.64000034332275	1.03999996185303	178.080001831055	821.640014648438	1.47233331203461	17381.833984375	-104.510041441955	15.3177687531709	1288.75	15.4499998092651	131.774993896484	51.9000015258789	18.6435046516367	13.109943342274	3.49665748543037	9.61563420468775	240.537540594162	0.125845643350671	280.592828734074	2.88364195879136	1.01450691138133	23.5887732539949	3.87829216569785	25.7946516360481	3.76997852437376
16	31.9755641239244	19.8712632646901	4.49479266230947	216.958823510283	831.128196352703	1.52016216487756	17995.2096737132	-100.105247967188	19.3690585313772	1459.31023375347	27.519479349701	119.749602296658	70.2436353413095	26.9200000762939	14.1599998474121	2.88000011444092	212.320007324219	904.100006103516	1.52383327484131	18026.1669921875	-99.1767081086214	18.7344354198375	1459.30004882812	27.1000003814697	122.525001525879	69.7750015258789	112	76.8000030517578	22.8799991607666	269.559997558594	1845.11999511719	2.57100009918213	18592.166015625	-97.8017081086214	23.5677687531709	1510.25	52.0999984741211	174.925003051758	79.0999984741211	10.4799995422363	4	0.800000011920929	177.639999389648	3.35999989509583	1.19533336162567	17278.333984375	-105.093374775288	17.4844354198375	1397.02502441406	18.7250003814697	70.9000015258789	58.5499992370605	15.9702465191622	15.2275556988552	4.45691274285781	24.2502000674806	485.439426127931	0.14710022113926	278.870625002473	1.85933126998714	1.69781710495683	22.8154939912628	3.26034301688883	21.8317029006437	3.28833444663526
17	42.6779261584109	17.219009824038	3.31276886518755	215.599352236733	868.051968847285	1.7249098486645	18237.4977392325	-101.988135857614	18.8919051953125	1455.61653595234	20.6659153946529	115.210708064736	60.8973141829996	39.1199989318848	16.5200004577637	3	215.600006103516	853.119995117188	1.682000041008	18273	-101.593374775288	18.8177687531709	1457.94995117188	21.0249996185303	113.224998474121	61	130.440002441406	64.5199966430664	14.8800001144409	272.119995117188	2064.67993164062	2.61029410362244	18613.666015625	-92.1350414419547	23.4427687531709	1510.94995117188	36.25	182.149993896484	70.125	10.8400001525879	4.15999984741211	0.920000016689301	177.759994506836	10.2799997329712	1.17999994754791	17454.75	-105.760041441955	15.5677687531709	1388.97497558594	11.4250001907349	73.0749969482422	52.5750007629395	15.8032251299303	6.77518605414419	1.75284036241829	20.6655517566874	429.134513212019	0.267828796417617	199.070317519221	2.56168263971609	1.4910342840443	23.1892765873363	4.6330031744719	17.5097248228506	3.50245523472073
18	85.1066665649414	57.6333338419596	16.5199999809265	232.499997456868	4.80000007152557	3.47733330726624	16382.9303385417	-95.8642081086214	18.6511020865042	1250.14998372396	26.9333337148031	211.79167175293	70.0750020345052	85.7200012207031	58.3400001525879	16.3000001907349	232.419998168945	4.34000015258789	3.47583329677582	16378.75	-95.8642081086214	18.6511020865042	1238.34997558594	27.2250003814697	210.350006103516	70.0500030517578	92.879997253418	62.5200004577637	18.1200008392334	233.479995727539	7.15999984741211	3.67000007629395	16419.666015625	-95.8433747752881	18.6927687531709	1273.75	27.2250003814697	214.675003051758	70.125	76.4800033569336	51.2000007629395	15.2799997329712	231.559997558594	2.92000007629395	3.31033325195312	16353.9169921875	-95.8850414419547	18.6094354198375	1238.34997558594	26.3500003814697	210.350006103516	70.0500030517578	6.31167328229252	4.18954211808172	1.30451557648142	0.737886951591413	1.60039990872872	0.138901789509088	26.431588218812	0.0228217732293845	0.037267799624996	18.2804940014667	0.451848057057532	2.23341882039199	0.0387282575411162
19	50.0199936892362	36.3298506080704	10.1711089743064	200.403936194093	951.256982348109	2.49212702848767	17152.3680362573	-94.60679759408	17.0048492900836	1385.82675846791	24.5966443151436	165.997399246933	60.0059563681583	47.3999996185303	33.4200000762939	9	200.459999084473	1012.08001708984	2.40100002288818	17230.0419921875	-93.6767081086214	16.7761020865042	1391.8125	26.0875005722046	162.349998474121	59.6750011444092	120.519996643066	72.2799987792969	23	232.960006713867	1639.40002441406	3.79166674613953	17877.083984375	-92.3850414419547	19.6927687531709	1427.94995117188	35.2999992370605	267.399993896484	71.5500030517578	10.9200000762939	6.11999988555908	1.51999998092651	176.720001220703	3.59999990463257	1.80866670608521	16043.5830078125	-97.4267081086214	15.6927687531709	1176.57495117188	14.5	137.725006103516	53.0250015258789	26.2962745478757	17.4177766750526	5.36683182925882	12.7528267922486	404.621796314719	0.354186224330349	429.692783086516	1.56175688244574	1.01801277751826	30.0227581671195	4.30100669666244	17.2273821689975	4.17005280178101
20	27.3470670602067	21.0231122461703	5.68324300823476	200.729759427399	890.584288108019	2.41473207878972	16865.1224833251	-96.48434974235	17.5354894382829	1442.81432815974	25.7099802823877	128.226482496902	69.6957512806527	15.6400003433228	12.6800003051758	3.07999992370605	197.199996948242	1002.71997070312	2.33999991416931	16975.5	-96.4683747752881	16.9844354198375	1445.80004882812	25.9500007629395	128.274993896484	69.3000030517578	103.680000305176	68.1600036621094	19.4799995422363	256.519989013672	1607.40002441406	3.75433349609375	17583.416015625	-93.4683747752881	19.5677687531709	1497.97497558594	34.2999992370605	171.225006103516	76.9749984741211	6.28000020980835	3	0.600000023841858	176.479995727539	3.79999995231628	1.74300003051758	16051.8330078125	-97.3433747752881	16.3177687531709	1391.875	18.9500007629395	69.625	63.6749992370605	22.476033669086	16.4809390920698	4.93330043000075	17.3355571931126	525.071396018685	0.490854148140081	431.981457302439	0.513002038516943	1.04434232453224	17.5002097216357	2.75545578115707	13.9317294572219	2.82217529037847
21	49.526672894824	35.7323322320638	10.1665823759009	214.025360177097	531.50537753214	2.65830230481548	16833.9185974957	-95.4737495850293	17.4571808536275	1433.30511042625	20.504594761487	132.02226043945	61.3068778112054	47.560001373291	36.2999992370605	10.8600001335144	218.679992675781	527.779998779297	2.58299994468689	17079.375	-95.9267081086214	16.7761020865042	1432.32495117188	20.9249992370605	132.925003051758	61.5750007629395	121.76000213623	74.5199966430664	23.3199996948242	257.519989013672	1662.40002441406	4.27133321762085	17853	-92.5517081086214	19.6927687531709	1507.875	28.6749992370605	169.875	70.5500030517578	3.24000000953674	3.24000000953674	0	177.279998779297	4.92000007629395	1.9539999961853	15807.8330078125	-97.4683747752881	15.8594354198375	1373.32495117188	11.625	74.0749969482422	53.7999992370605	26.0465213575387	19.6755430219784	6.17843171604711	14.1836429616965	468.163499966717	0.365994074308436	661.114470542803	1.17113974427775	1.19000983323058	18.3819017010013	3.47372311010083	13.975917005621	3.42612604074194
22	42.3954985388394	5.72084211481029	0.283517972662531	194.606144872205	2.26293919929143	3.06063503232496	18337.2614493534	-108.323259832759	25.0490905922513	1185.99094575027	37.6413791919577	195.936635510675	74.6737075016416	39.25	4.57246375083923	0	193	1.80476188659668	3.08135414123535	18339.9169921875	-108.510041441955	25.2969354198375	1230.41247558594	33.9624996185303	166.1875	75	65.3600006103516	13.1818180084229	2	215.818176269531	18	3.19166660308838	18597.833984375	-105.260041441955	25.7344354198375	1403.52502441406	65.875	381.799987792969	79.5749969482422	32	2	0	183.5	-0.333333343267441	2.38402771949768	17977.416015625	-109.385041441955	21.5261020865042	828.275024414062	18.6000003814697	119.974998474121	68.0250015258789	9.50274061084865	3.12111097115667	0.535041024961668	7.01382000939724	2.67546091318853	0.141770912633616	155.077536200807	0.836515902988187	0.749235006778336	144.486163112721	12.0879874147141	65.1810776871568	2.71895346358984
23	38.1779133796692	12.074524307251	1.42688935399055	220.076438903809	82.5009213238955	2.54335235357285	18453.3374023438	-105.599624775288	21.1448520865042	1315.43499755859	23.86875	159.460000610352	65.6399997711182	36.3457145690918	12.5716667175293	1	216.10285949707	40.8999996185303	2.50513887405396	18453.875	-105.218374775288	21.3594354198375	1313.26251220703	22.6999998092651	157.262496948242	66.125	64.0800018310547	15.9130430221558	2.40000009536743	241.41667175293	443.399993896484	3.17499995231628	18589.833984375	-104.676708108621	25.8177687531709	1438.02502441406	36.2000007629395	217.375	74.7750015258789	27.6000003814697	5	0	183	0.800000011920929	2.23866653442383	18105.166015625	-109.426708108621	19.1927687531709	1105.82495117188	14.6750001907349	107.824996948242	55.5499992370605	7.79598614389248	2.95912551842099	0.643650751141181	17.318668307163	122.939196686961	0.25966185659589	109.538714854128	1.31367602562138	1.88645501842734	90.5078882566819	6.61380579451674	29.5959886492007	5.80430558917131
24	56.5735015453787	11.3084945097694	2.18827422680947	194.512261945402	103.019235197645	2.41593939588541	18036.2140009402	-107.639840868889	24.691121188701	1500.64588836408	26.260171948463	80.0923207881457	74.5358307868498	52.9199981689453	8.80000019073486	1	192.960006713867	51.3600006103516	2.37100005149841	17956.75	-107.718374775288	24.8177687531709	1506.72497558594	26.2999992370605	78.5999984741211	76.5250015258789	134.080001831055	64.7200012207031	18.1599998474121	239.33332824707	952.200012207031	3.54166674613953	19010.333984375	-97.8017081086214	26.4011020865042	1564.17504882812	47.375	215.925003051758	82.5500030517578	19	0.680000007152557	0	175.880004882812	-1.32000005245209	1.60433328151703	17426.666015625	-110.510041441955	19.2344354198375	1286.57495117188	6.5	25.1749992370605	59.5750007629395	21.2857208938412	10.1596670264604	2.73971809388037	9.88133749383151	126.785623730538	0.475825674347672	335.893093270125	1.95417227212075	1.10951004979824	35.4709820524549	6.8962341647541	22.1429768930347	4.79286999883672
25	80.0984130334602	21.5792730327636	4.45076414215423	205.811665005154	290.308993435076	1.9843663764063	18065.2937903026	-106.010427244424	22.9982140794495	1472.93283823811	22.5551586945852	94.2711640060263	63.0777115392937	84.6599998474121	20.3599996566772	4.05999994277954	204.340003967285	245.860000610352	1.84350001811981	18010.833984375	-106.010041441955	23.3177687531709	1476.95001220703	23.2999992370605	92.75	63	128.880004882812	54.7200012207031	12.4399995803833	242.33332824707	876.359985351562	2.80722212791443	18584	-104.468374775288	25.4011020865042	1519.25	33.4249992370605	168.550003051758	71.5	26	3.53333330154419	0	182.119995117188	0.239999994635582	1.53600001335144	17656.166015625	-107.676708108621	19.1094354198375	1327.97497558594	11.0500001907349	62.0499992370605	56.6749992370605	28.0893286747838	9.29245659222201	2.76709048075261	13.3793530874993	231.189599641141	0.316106751730349	187.671325720734	0.571338630841431	1.49014678944983	20.9724470545091	3.54462393779412	14.538780994652	2.94437973614687
26	47.7578181180087	42.0007269772616	10.8181817574935	130.366545521129	2075.36508678089	2.23072120493109	18269.2681463068	-95.8986778055911	17.6798899652921	1277.60773925781	32.1263634768399	330.698180597479	60.6745452187278	38.0800018310547	32.2799987792969	8.4399995803833	128.720001220703	2243.0400390625	2.24233341217041	18271.25	-92.1767081086214	15.5261020865042	1261.09997558594	32.0999984741211	345.850006103516	57.8499984741211	95.3199996948242	89.4000015258789	24.6000003814697	185.839996337891	3124.56005859375	2.89866662025452	19128.333984375	-91.7183747752881	23.5261020865042	1436.05004882812	48.0250015258789	625.825012207031	74.5500030517578	22.0799999237061	19.7999992370605	2.59999990463257	79.4800033569336	357.320007324219	1.35633337497711	17394.666015625	-103.635041441955	14.8594354198375	1128.80004882812	25.2999992370605	160.774993896484	53.9249992370605	22.6746803255119	19.7596437234706	5.78443800176088	29.0865632290174	741.80660286338	0.374497612345797	392.725788409836	4.3295334014618	2.89210194280682	89.472284593404	4.12146168277615	104.012326649056	6.72350502576469
