VARID	VARCODE	VARDESCR_EN	VARDESCR	VARUNIDAD	VARFUENTE	VARMODULO	FUENTELINK
100	tmin_6	Temperatura minima de junio	Temp min 6	°C	Worldclim	Bioclimatica	http://worldclim.org
101	tmin_7	Temperatura minima de julio	Temp min 7	°C	Worldclim	Bioclimatica	http://worldclim.org
102	tmin_8	Temperatura minima de agosto	Temp min 8	°C	Worldclim	Bioclimatica	http://worldclim.org
103	tmin_9	Temperatura minima de septiembre	Temp min 9	°C	Worldclim	Bioclimatica	http://worldclim.org
104	POINT_X	Longitud para el centroide de la celda	Longitud	Grados decimales	NA	Geofisica	NA
105	POINT_Y	Latitud para centroide de la celda	Latitud	Grados decimales	NA	Geofisica	NA
106	vapr_1	Presion de vapor de enero	Presion de vapor 1	kPa	Worldclim2	Bioclimatica	http://worldclim.org
107	vapr_2	Presion de vapor de febrero	Presion de vapor 2	kPa	Worldclim2	Bioclimatica	http://worldclim.org
108	vapr_3	Presion de vapor de marzo	Presion de vapor 3	kPa	Worldclim2	Bioclimatica	http://worldclim.org
109	vapr_4	Presion de vapor de abril	Presion de vapor 4	kPa	Worldclim2	Bioclimatica	http://worldclim.org
110	vapr_5	Presion de vapor de mayo	Presion de vapor 5	kPa	Worldclim2	Bioclimatica	http://worldclim.org
111	vapr_6	Presion de vapor de junio	Presion de vapor 6	kPa	Worldclim2	Bioclimatica	http://worldclim.org
112	vapr_7	Presion de vapor de julio	Presion de vapor 7	kPa	Worldclim2	Bioclimatica	http://worldclim.org
113	vapr_8	Presion de vapor de agosto	Presion de vapor 8	kPa	Worldclim2	Bioclimatica	http://worldclim.org
114	vapr_9	Presion de vapor de septiembre	Presion de vapor 9	kPa	Worldclim2	Bioclimatica	http://worldclim.org
115	vapr_10	Presion de vapor de octubre	Presion de vapor 10	kPa	Worldclim2	Bioclimatica	http://worldclim.org
116	vapr_11	Presion de vapor de noviembre	Presion de vapor 11	kPa	Worldclim2	Bioclimatica	http://worldclim.org
117	vapr_12	Presion de vapor de diciembre	Presion de vapor 12	kPa	Worldclim2	Bioclimatica	http://worldclim.org
118	vapr_annual	Presion de vapor promedio anual	Presion de vapor anual	kPa	Worldclim2	Bioclimatica	http://worldclim.org
119	wind_1	Velocidad viento enero	Velocidad viento 1	ms-1	Worldclim2	Geofisica	http://worldclim.org
120	wind_2	Velocidad viento febrero	Velocidad viento 2	ms-1	Worldclim2	Geofisica	http://worldclim.org
121	wind_3	Velocidad viento marzo	Velocidad viento 3	ms-1	Worldclim2	Geofisica	http://worldclim.org
122	wind_4	Velocidad viento abril	Velocidad viento 4	ms-1	Worldclim2	Geofisica	http://worldclim.org
123	wind_5	Velocidad viento mayo	Velocidad viento 5	ms-1	Worldclim2	Geofisica	http://worldclim.org
124	wind_6	Velocidad viento junio	Velocidad viento 6	ms-1	Worldclim2	Geofisica	http://worldclim.org
125	wind_7	Velocidad viento julio	Velocidad viento 7	ms-1	Worldclim2	Geofisica	http://worldclim.org
126	wind_8	Velocidad viento agosto	Velocidad viento 8	ms-1	Worldclim2	Geofisica	http://worldclim.org
127	wind_9	Velocidad viento septiembre	Velocidad viento 9	ms-1	Worldclim2	Geofisica	http://worldclim.org
128	wind_10	Velocidad viento octubre	Velocidad viento 10	ms-1	Worldclim2	Geofisica	http://worldclim.org
129	wind_11	Velocidad viento noviembre	Velocidad viento 11	ms-1	Worldclim2	Geofisica	http://worldclim.org
130	wind_12	Velocidad viento diciembre	Velocidad viento 12	ms-1	Worldclim2	Geofisica	http://worldclim.org
131	wind_annual	Velocidad viento anual	Velocidad viento anual	ms-1	Worldclim2	Geofisica	http://worldclim.org
132	srad_1	Radiacion solar enero	Radiacion solar 1	MJ m-2	Worldclim2	Geofisica	http://worldclim.org
133	srad_2	Radiacion solar febrero	Radiacion solar 2	MJ m-2	Worldclim2	Geofisica	http://worldclim.org
134	srad_3	Radiacion solar marzo	Radiacion solar 3	MJ m-2	Worldclim2	Geofisica	http://worldclim.org
135	srad_4	Radiacion solar abril	Radiacion solar 4	MJ m-2	Worldclim2	Geofisica	http://worldclim.org
136	srad_5	Radiacion solar mayo	Radiacion solar 5	MJ m-2	Worldclim2	Geofisica	http://worldclim.org
137	srad_6	Radiacion solar junio	Radiacion solar 6	MJ m-2	Worldclim2	Geofisica	http://worldclim.org
138	srad_7	Radiacion solar julio	Radiacion solar 7	MJ m-2	Worldclim2	Geofisica	http://worldclim.org
139	srad_8	Radiacion solar agosto	Radiacion solar 8	MJ m-2	Worldclim2	Geofisica	http://worldclim.org
140	srad_9	Radiacion solar septiembre	Radiacion solar 9	MJ m-2	Worldclim2	Geofisica	http://worldclim.org
141	srad_10	Radiacion solar octubre	Radiacion solar 10	MJ m-2	Worldclim2	Geofisica	http://worldclim.org
142	srad_11	Radiacion solar noviembre	Radiacion solar 11	MJ m-2	Worldclim2	Geofisica	http://worldclim.org
143	srad_12	Radiacion solar diciembre	Radiacion solar 12	MJ m-2	Worldclim2	Geofisica	http://worldclim.org
144	srad_annual	Radiacion solar anual	Radiacion solar anual	MJ m-2	Worldclim2	Geofisica	http://worldclim.org
145	t_awc1	Available soil water capacity (volumetric fraction) for h1 - topsoil	Avail soil water cap h1 top	%	Soilgrids	Edafica	https://soilgrids.org
146	s_awc1	Available soil water capacity (volumetric fraction) for h1 - subsoil	Avail soil water cap h1 sub	%	Soilgrids	Edafica	https://soilgrids.org
147	t_awc2	Available soil water capacity (volumetric fraction) for h2 - topsoil	Avail soil water cap h2 top	%	Soilgrids	Edafica	https://soilgrids.org
148	s_awc2	Available soil water capacity (volumetric fraction) for h2 - subsoil	Avail soil water cap h2 sub	%	Soilgrids	Edafica	https://soilgrids.org
149	t_awc3	Available soil water capacity (volumetric fraction) for h3 - topsoil	Avail soil water cap h3 top	%	Soilgrids	Edafica	https://soilgrids.org
150	s_awc3	Available soil water capacity (volumetric fraction) for h3 - subsoil	Avail soil water cap h3 sub	%	Soilgrids	Edafica	https://soilgrids.org
151	t_awcts	Saturated water content (volumetric fraction) for tS - topsoil	Sat water cont top	%	Soilgrids	Edafica	https://soilgrids.org
152	s_awcts	Saturated water content (volumetric fraction) for tS - subsoil	Sat water cont sub	%	Soilgrids	Edafica	https://soilgrids.org
153	depth_rock	Depth to bedrock (R horizon) up to 200 cm	Depth to bedrock	cm 	Soilgrids	Edafica	https://soilgrids.org
154	r_horizon	Probability of occurrence of R horizon	R horizon	%	Soilgrids	Edafica	https://soilgrids.org
155	t_bulk_dens	Bulk density (fine earth) in kg / cubic-meter - topsoil	Bulk density top	kg / cubic-m	Soilgrids	Edafica	https://soilgrids.org
156	s_bulk_dens	Bulk density (fine earth) in kg / cubic-meter - subsoil	Bulk density sub	kg / cubic-m	Soilgrids	Edafica	https://soilgrids.org
157	t_cecsol	Cation exchange capacity of soil in cmolc/kg - topsoil	Cation exchange cap top	cmol / kg	Soilgrids	Edafica	https://soilgrids.org
158	s_cecsol	Cation exchange capacity of soil in cmolc/kg - subsoil	Cation exchange cap sub	cmol / kg	Soilgrids	Edafica	https://soilgrids.org
159	t_clay_cont	Clay content (0-2 micro meter) mass fraction in % - topsoil	Clay content top	%	Soilgrids	Edafica	https://soilgrids.org
160	s_clay_cont	Clay content (0-2 micro meter) mass fraction in % - subsoil	Clay content sub	%	Soilgrids	Edafica	https://soilgrids.org
161	t_coarse_frag	Coarse fragments volumetric in %	Coarse fragments top	%	Soilgrids	Edafica	https://soilgrids.org
162	s_coarse_frag	Coarse fragments volumetric in %	Coarse fragments sub	%	Soilgrids	Edafica	https://soilgrids.org
