"INSTCODE"	"ACCENUMB"	"COLLNUMB"	"COLLCODE"	"COLLNAME"	"COLLINSTADDRESS"	"COLLMISSID"	"GENUS"	"SPECIES"	"SPAUTHOR"	"SUBTAXA"	"SUBTAUTHOR"	"CROPNAME"	"ACCENAME"	"ACQDATE"	"ORIGCTY"	"NAMECTY"	"ADM1"	"ADM2"	"ADM3"	"ADM4"	"COLLSITE"	"DECLATITUDE"	"LATITUDE"	"DECLONGITUDE"	"LONGITUDE"	"COORDUNCERT"	"COORDDATUM"	"GEOREFMETH"	"ELEVATION"	"COLLDATE"	"BREDCODE"	"BREDNAME"	"SAMPSTAT"	"ANCEST"	"COLLSRC"	"DONORCODE"	"DONORNAME"	"DONORNUMB"	"OTHERNUMB"	"DUPLSITE"	"DUPLINSTNAME"	"STORAGE"	"MLSSTAT"	"REMARKS"	"SUITQUAL"	"LOCALQUAL"	"COORQUAL"	"TOTALQUAL"	"TOTALQUAL100"
NA	"2629431541"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Queretaro de arteaga"	"Landa de Matamoros"	NA	NA	NA	21.2916666666667	"211730N"	-99.075	"0990430W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.3333333333333	17	50.3333333333333	83.8888888888889
NA	"2629434893"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Hidalgo"	"Pisaflores"	NA	NA	NA	21.2416666666667	"211430N"	-99.0547222222222	"0990317W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	17	57	95
NA	"2629438717"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Queretaro de arteaga"	"Pisaflores"	NA	NA	NA	21.1872222222222	"211114N"	-99.0508333333333	"0990303W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.3333333333333	17	50.3333333333333	83.8888888888889
NA	"2629438745"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Queretaro de arteaga"	"Jalpan de Serra"	NA	NA	NA	21.1738888888889	"211026N"	-99.3872222222222	"0992314W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.3333333333333	17	50.3333333333333	83.8888888888889
NA	"2629439508"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Queretaro de arteaga"	"Colon"	NA	NA	NA	20.6288888888889	"203744N"	-100.128333333333	"1000742W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.3333333333333	17	50.3333333333333	83.8888888888889
NA	"2629440094"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Jalisco"	"Tamazula de Gordiano"	NA	NA	NA	19.745	"194442N"	-103.436944444444	"1032613W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	20	17	52	86.6666666666667
NA	"2629440484"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Queretaro de arteaga"	"Landa de Matamoros"	NA	NA	NA	21.2375	"211415N"	-99.2161111111111	"0991258W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	13.3333333333333	17	45.3333333333333	75.5555555555556
NA	"2629452864"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Oaxaca"	"Dist. Pochutla"	NA	NA	NA	15.9466666666667	"155648N"	-96.555	"0963318W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	20	17	52	86.6666666666667
NA	"2629452865"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Campeche"	"Champotan"	NA	NA	NA	18.6583333333333	"183930N"	-90.2547222222222	"0901517W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	20	17	52	86.6666666666667
NA	"2629452866"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Quintana roo"	"Othan P. Blanco"	NA	NA	NA	18.4305555555556	"182550N"	-88.7927777777778	"0884734W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	20	17	52	86.6666666666667
NA	"2629452867"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Oaxaca"	"Dist. Tuxtepec"	NA	NA	NA	17.9466666666667	"175648N"	-96.1702777777778	"0961013W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	17	57	95
NA	"2629454854"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Veracruz de ignacio de la llave"	"Emiliano Zapata"	NA	NA	NA	19.4602777777778	"192737N"	-96.7572222222222	"0964526W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.3333333333333	17	50.3333333333333	83.8888888888889
NA	"2629454855"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Colima"	"Comala"	NA	NA	NA	19.4488888888889	"192656N"	-103.711388888889	"1034241W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	17	57	95
NA	"2629455934"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Guerrero"	"Jose Azueta"	NA	NA	NA	17.6569444444444	"173925N"	-101.592777777778	"1013534W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	17	57	95
NA	"2629456773"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Chiapas"	"Ocosingo"	NA	NA	NA	16.8583333333333	"165130N"	-91.5777777777778	"0913440W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	17	57	95
NA	"2629456774"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Veracruz de ignacio de la llave"	"Mecayapan"	NA	NA	NA	18.2722222222222	"181620N"	-94.8844444444445	"0945304W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.3333333333333	17	50.3333333333333	83.8888888888889
