"ACCENUMB"	"t_awc1"	"t_awc2"	"t_awc3"	"t_soilwater_cap"	"t_bulk_dens"	"t_cecsol"	"t_clay_cont"	"t_coarse_frag"	"depth_rock"	"t_oc_cont"	"t_oc_dens"	"t_oc_stock"	"r_horizon"	"t_sand_cont"	"t_awcts"	"t_silt_cont"	"sodicity"	"t_ph_hox"	"t_ph_kcl"
"1895379074"	11.9750003814697	9.55000019073486	7.75	25.7999992370605	1429.84997558594	25.0249996185303	39.1749992370605	19.2999992370605	129	13.0500001907349	164.625	154	43	35.5499992370605	43.75	25.4500007629395	0	71.5500030517578	54.25
"1895379075"	12	8.97500038146973	7.34999990463257	25.0750007629395	1377	23.125	35.9000015258789	14.5249996185303	140	18.5499992370605	172.125	192	56	41.6749992370605	44.2000007629395	22.4750003814697	0	58.3499984741211	47.4249992370605
"1895379076"	12.4499998092651	9.64999961853027	7.77500009536743	26.2250003814697	1382.09997558594	24.9249992370605	36.875	21.2999992370605	113	16.7749996185303	172.574996948242	173	60	36.5	44.7750015258789	27.4500007629395	0	63.2000007629395	49.5
"1895379077"	11.875	9	7.77500009536743	25.8250007629395	1397.32495117188	23.6000003814697	38.4249992370605	20.2250003814697	114	17.0249996185303	173.449996948242	179	64	35.875	44	25.5	0	62.7750015258789	49.8499984741211
"1895379079"	12.7749996185303	9.97500038146973	7.97499990463257	25.3250007629395	1377.82495117188	24.375	35.2999992370605	13.4250001907349	142	14.2250003814697	168.524993896484	164	42	37.2249984741211	44.7750015258789	27.5499992370605	0	63	48.5
"1895379080"	12.7749996185303	9.97500038146973	7.97499990463257	25.3250007629395	1377.82495117188	24.375	35.2999992370605	13.4250001907349	142	14.2250003814697	168.524993896484	164	42	37.2249984741211	44.7750015258789	27.5499992370605	0	63	48.5
"1895379085"	9.47500038146973	7	5.92500019073486	29.9750003814697	1395.82495117188	45.8250007629395	39.5750007629395	11.1999998092651	156	15.3999996185303	168.550003051758	169	49	42.75	44.9249992370605	18.1000003814697	0	69.5749969482422	47.7000007629395
"1895379089"	12.7250003814697	9.72500038146973	7.75	26.4249992370605	1308.65002441406	24.8250007629395	37.0250015258789	12.9750003814697	194	18.7000007629395	210.875	210	24	39.2249984741211	46.7999992370605	24.125	0	55.7000007629395	45.2750015258789
"1895379093"	15.6999998092651	12.625	10.5249996185303	27.6000003814697	1128.80004882812	31.5750007629395	27.3500003814697	26.875	165	57	404.25	434	36	42.0750007629395	51.5999984741211	30.7000007629395	0	54.5999984741211	46.8250007629395
"1895379094"	11.2749996185303	8.82499980926514	7.19999980926514	25.0750007629395	1452.92504882812	25.5750007629395	38.3250007629395	13.8500003814697	144	12.8999996185303	155.949996948242	154	46	38.0750007629395	42.8499984741211	23.7000007629395	0	69.9000015258789	48.2999992370605
"1895379097"	9.75	7.55000019073486	6.09999990463257	26.7999992370605	1493.67504882812	23.8500003814697	45.0499992370605	36.2249984741211	62	10.1999998092651	95.875	85	90	33.9249992370605	42.0750007629395	21.3500003814697	0	66.5500030517578	56.4000015258789
"1895379099"	11.3249998092651	8.67500019073486	7.25	27.125	1382.09997558594	27.8999996185303	40.5250015258789	20.5499992370605	106	17.6000003814697	176.574996948242	182	60	34.9000015258789	45.0999984741211	24.7000007629395	0	60.7999992370605	48.2750015258789
"1895379101"	11.3000001907349	8.52499961853027	7.09999990463257	25.0249996185303	1414.17504882812	22.9500007629395	38.4500007629395	13.7749996185303	171	13.75	139.899993896484	150	42	40.0750007629395	43.625	21.8999996185303	0	60.5750007629395	47.6500015258789
"1895379102"	12.4750003814697	9.75	7.77500009536743	25.2250003814697	1358.42504882812	21.6499996185303	37.2249984741211	18.875	186	12.875	170.199996948242	156	36	37.6749992370605	45.2249984741211	24.75	0	58	48.3499984741211
"1895379105"	12.8000001907349	9.89999961853027	8.67500019073486	24	1461.02502441406	23.875	34.7249984741211	18.9750003814697	164	11.5500001907349	133.925003051758	132	34	35.5750007629395	42.3250007629395	30.0249996185303	0	76.75	61.0999984741211
"1895379106"	9.77499961853027	7.32499980926514	6.02500009536743	29	1429.25	38.0499992370605	43.2249984741211	8.89999961853027	175	12.4499998092651	138.300003051758	147	37	38.0999984741211	44.0999984741211	19.25	0	69.2750015258789	51.6500015258789
"1895379109"	11.6499996185303	9.19999980926514	7.40000009536743	26	1473.80004882812	29.5249996185303	37.9749984741211	17.4500007629395	155	12.0249996185303	165.850006103516	148	46	35.125	42.9249992370605	27.4750003814697	0	77.0749969482422	62.9749984741211
"1895379115"	10.1999998092651	7.77500009536743	5.97499990463257	29.4249992370605	1380.75	40.0499992370605	44.9000015258789	11.875	130	15.1499996185303	179.649993896484	166	55	39.3250007629395	46.0999984741211	16.3250007629395	0	73.5500030517578	51.0999984741211
"1895379117"	11.8999996185303	8.77499961853027	7.44999980926514	24.0249996185303	1405.94995117188	21.2749996185303	34.4749984741211	11.875	200	12.9499998092651	149.425003051758	153	26	42.8499984741211	43.2249984741211	22.6749992370605	0	55.7999992370605	50.0999984741211
"1895379118"	11.6999998092651	8.57499980926514	6.90000009536743	26.2250003814697	1387	26.2999992370605	38.2000007629395	15.6750001907349	153	15.5	153.649993896484	165	49	38.7999992370605	44.25	22.7749996185303	0	58.9249992370605	46.9749984741211
"1895379127"	11.2749996185303	8.82499980926514	7.19999980926514	25.0750007629395	1452.92504882812	25.5750007629395	38.3250007629395	13.8500003814697	144	12.8999996185303	155.949996948242	154	46	38.0750007629395	42.8499984741211	23.7000007629395	0	69.9000015258789	48.2999992370605
"1895379129"	12.25	9.42500019073486	7.69999980926514	25	1444.80004882812	25.1499996185303	35.2000007629395	20.2000007629395	138	14.3000001907349	148.300003051758	154	42	37.6500015258789	42.7999992370605	28	0	68.7750015258789	51.9249992370605
"1895379137"	12.25	9.22500038146973	7.57499980926514	25.4750003814697	1413.65002441406	26.3999996185303	35.6500015258789	23	135	17	167.449996948242	172	49	36.4249992370605	44.0250015258789	27.7999992370605	0	66	52.5999984741211
"1895379142"	12.7749996185303	9.97500038146973	7.97499990463257	25.3250007629395	1392.30004882812	23.7999992370605	34.875	14.4250001907349	146	15.6750001907349	163.75	172	45	37.5750007629395	44.625	28	0	63	48.5250015258789
"1895379147"	11.3249998092651	8.67500019073486	7.25	27.125	1382.09997558594	27.8999996185303	40.5250015258789	20.5499992370605	106	17.6000003814697	176.574996948242	182	60	34.9000015258789	45.0999984741211	24.7000007629395	0	60.7999992370605	48.2750015258789
