Fuente	ID de la fuente	ESPECIE	"GENUS
"	"SPECIES
"	"ORIGCTY
"	"OBSDATE
"	"POPID
"	"MNGINSTNAME
"	MNGINSTADDRESS	"SPAUTHOR
"	"SUBTAXA
"	"SUBTAUTH
"	"OCCURSITE
"	"DECLATITUDE
"	"DECLONGITUDE
"	"COORDDATUM
"	"ELEVATION
"	SITEPROT	"POPSRC
"	SAMPSTAT	INSTNAME	INSTADDRESS	INSTNAME	"INSTCODE
"	HERBCODE	3.2.5.1	ACCEDOI	ACCENUMB	SPECNUMB	CONSACTION	MLSSTAT	LINKS	REMARKS
GBIF_CWRdiversity	1301677806	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1388807			L.			CPA Desembarco del Granma /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301677834	Capsicum chinense	Capsicum	chinense	CUB	00000000	1388814			Jacq.			CPA Desembarco del Granma /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301677839	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1388815				lycopersicum		CPA Desembarco del Granma /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301677844	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1388816				lycopersicum		CPA Desembarco del Granma /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301677858	Brassica rapa	Brassica	rapa	CUB	00000000	1388819			L.			CPA Desembarco del Granma /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678183	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1388986				vulgaris		Crucero Lugo, Central road, between Santo Domingo and Santa Clara /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678198	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1388988				lycopersicum		Crucero Lugo, Central road, between Santo Domingo and Santa Clara /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678244	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1388995			L.			Cruces, CCS Julio Antonio Mella /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678266	Capsicum frutescens	Capsicum	frutescens	CUB	00000000	1388998			L.			Cruces, CCS Julio Antonio Mella /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678355	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1389407				lycopersicum		Cueto /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678363	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1389409				lycopersicum		Cueto /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678370	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1389411				lycopersicum		Cueto /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678390	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1389415				lycopersicum		Cueto /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678401	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1389418				lycopersicum		Cueto /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678405	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1389419				lycopersicum		Cueto /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678411	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1389421				lycopersicum		Cueto /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678421	Solanum pimpinellifolium	Solanum	pimpinellifolium	CUB	00000000	1389423			Mill. ex Dunal			Cueto /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678555	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1389398				lycopersicum		Cueto /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678562	Capsicum chinense	Capsicum	chinense	CUB	00000000	1389524			Jacq.			Cumanayagua /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678563	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1389399				lycopersicum		Cueto /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678577	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1389401				lycopersicum		Cueto /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678584	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1389402				lycopersicum		Cueto /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301678605	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1389405				lycopersicum		Cueto /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301682251	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1393335				vulgaris		Distrikt: Pinar del Rio, Sammelort: El Quemado, 20 km von Vinales, Bauer: Fernando Trasanco /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301682282	Capsicum frutescens	Capsicum	frutescens	CUB	00000000	1393327			L.			Distrikt: Pinar del Rio, Sammelort: Cocodrillo, Bauer: Sidney Crowde /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301682283	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1393333				vulgaris		Distrikt: Pinar del Rio, Sammelort: El Quemado, 20 km von Vinales, Bauer: Fernando Trasanco /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301682285	Capsicum frutescens	Capsicum	frutescens	CUB	00000000	1393322			L.			Distrikt: Pinar del Rio, Sammelort: 1 km nach El Rosario in Richtung La Palma /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301682286	Capsicum annuum	Capsicum	annuum	CUB	00000000	1393352			L.			Distrikt: Pinar del Rio, Sammelort: Finca Magen, zwischen Malpoton und Manuel Lazo, Bauer: Rodobaldo Lazo Alvarez /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301682300	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1393374				vulgaris		Distrikt: Pinar del Rio, Sammelort: Los Portales, Bauer: Miguel Delgado /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301682301	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1393340				vulgaris		Distrikt: Pinar del Rio, Sammelort: El Roble, Santa Isabel, Bauer: Juan Pujada /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301682302	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1393379			L.			Distrikt: Pinar del Rio, Sammelort: Macurije, Las Cazuelas, Bauer: Gregorio Chevez /  / Cuba								Bioversity-ECPGR												
